"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rplp0",5.03533606379854e-43,0.871180059917208,0.998,0.923,8.09833099140719e-39,"1","Rplp0"
"Lat",8.98361567818654e-42,1.54483097283431,0.646,0.035,1.44483490952274e-37,"1","Lat"
"Ms4a4b",1.33826172752812e-41,1.53206919743773,0.726,0.084,2.15232633638347e-37,"1","Ms4a4b"
"Rplp1",1.74530125638564e-40,0.765706668248572,1,0.949,2.80696801064503e-36,"1","Rplp1"
"Rpl121",2.07629618173163e-38,0.963768148558501,0.996,0.829,3.33930714907898e-34,"1","Rpl12"
"Rpl13a1",1.26336832070009e-37,0.66713442445284,1,0.951,2.03187527018196e-33,"1","Rpl13a"
"Tmsb10",4.60574870217498e-37,0.791191923803546,1,0.812,7.40742563770802e-33,"1","Tmsb10"
"Rps61",5.27651682927064e-37,0.712024172959451,0.998,0.921,8.48622201651597e-33,"1","Rps6"
"Rps161",5.59531179446646e-37,0.696414028197356,1,0.964,8.99893995904042e-33,"1","Rps16"
"Rps15a1",2.72012834569311e-35,0.77167342341856,1,0.926,4.37478241837822e-31,"1","Rps15a"
"Rps231",8.05426842433627e-35,0.646900933221617,1,0.961,1.295367990686e-30,"1","Rps23"
"Rps71",3.21367179099889e-34,0.734347532870002,0.997,0.912,5.16854834146352e-30,"1","Rps7"
"Ms4a6b",4.03704838033395e-33,1.43681001833238,0.677,0.103,6.49278491009109e-29,"1","Ms4a6b"
"Rps241",7.63734530497474e-33,0.666425481407933,1,0.939,1.22831424539909e-28,"1","Rps24"
"Thy1",8.07117011466033e-33,1.52675230614869,0.578,0.022,1.29808628954082e-28,"1","Thy1"
"Tpt1",9.38035157104321e-33,0.596341779830317,1,0.967,1.50864194317088e-28,"1","Tpt1"
"Rps141",9.98260543944619e-33,0.584760587838975,0.999,0.96,1.60550243282613e-28,"1","Rps14"
"Rps181",1.66957382117908e-32,0.769649513282486,1,0.91,2.68517557660231e-28,"1","Rps18"
"Rplp21",6.30328277532075e-31,0.637535640999738,1,0.948,1.01375696875484e-26,"1","Rplp2"
"Rps101",2.63695211893908e-30,0.636357786575339,0.998,0.912,4.24101009288973e-26,"1","Rps10"
"Rps31",4.3044929912776e-30,0.639264203447167,0.999,0.92,6.92291607787176e-26,"1","Rps3"
"Lck",5.71094470489107e-30,1.31101043118471,0.67,0.073,9.18491236887631e-26,"1","Lck"
"Rpl171",7.46692506509802e-30,0.645328317621123,1,0.954,1.20090555821971e-25,"1","Rpl17"
"Rpl191",8.23138094609097e-30,0.628788473912836,1,0.929,1.32385299755981e-25,"1","Rpl19"
"Rpl181",2.02193755480652e-29,0.632875718994592,0.998,0.894,3.25188216939533e-25,"1","Rpl18"
"Rpl33",5.40505398380578e-29,0.702605040843614,0.998,0.859,8.69294832215483e-25,"1","Rpl3"
"Rps291",7.15925138366076e-29,0.569389423407834,1,0.976,1.15142240003416e-24,"1","Rps29"
"Il7r",1.8713700328498e-28,1.58144749844132,0.541,0.019,3.00972442383234e-24,"1","Il7r"
"Lef1",2.07645286093432e-28,1.43639478068859,0.522,0.02,3.33955913624066e-24,"1","Lef1"
"Gm10073",2.07916910798355e-28,0.767198585991522,0.964,0.749,3.34392767636994e-24,"1","Gm10073"
"Rpl391",2.12447014079638e-28,0.576252332624712,1,0.949,3.41678532744281e-24,"1","Rpl39"
"Gm8730",6.84043582684876e-28,0.832549402053977,0.961,0.706,1.10014729403209e-23,"1","Gm8730"
"Rpl321",7.02169762390556e-28,0.580804905291638,1,0.929,1.12929962885273e-23,"1","Rpl32"
"Rpl231",1.00779236804884e-27,0.582713491189352,1,0.94,1.62083246553296e-23,"1","Rpl23"
"Rps281",1.7745204162604e-27,0.588705496558673,0.998,0.903,2.85396118547161e-23,"1","Rps28"
"Rpl23a1",2.46108542781166e-27,0.609811197651488,0.999,0.926,3.95816369354949e-23,"1","Rpl23a"
"Rps3a11",1.45258113744817e-26,0.575995042686284,0.999,0.916,2.3361862433579e-22,"1","Rps3a1"
