"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Wfdc172",2.68764601874509e-63,3.73789339258558,0.899,0.181,4.32254109194773e-59,"4","Wfdc17"
"Wfdc21",3.21280123731068e-63,3.42848992946153,0.918,0.098,5.16714822996677e-59,"4","Wfdc21"
"Tyrobp4",2.13354519890845e-60,1.88061904425697,1,0.4,3.43138074340446e-56,"4","Tyrobp"
"Ifitm24",1.31129668363344e-58,2.35211096602141,0.904,0.228,2.10895845628766e-54,"4","Ifitm2"
"Alox5ap4",6.31535139082466e-57,2.01652749056439,0.925,0.227,1.01569796418633e-52,"4","Alox5ap"
"Hp4",3.29730846811383e-56,2.11993055756499,0.886,0.189,5.30306120926747e-52,"4","Hp"
"Ifitm1",1.02288174328721e-54,3.64696881662938,0.785,0.063,1.64510070772882e-50,"4","Ifitm1"
"Il1b",8.58737178366206e-54,3.12770919520104,0.783,0.043,1.38110700396637e-49,"4","Il1b"
"Lrg1",9.15799496361742e-49,2.50047447385284,0.778,0.075,1.47288032999859e-44,"4","Lrg1"
"Csf3r",1.55996260432035e-46,2.40523919567395,0.707,0.036,2.50888785652841e-42,"4","Csf3r"
"Txn13",3.53046330317105e-46,1.74145077509524,0.925,0.505,5.67804413049e-42,"4","Txn1"
"Gsr2",3.61832369065328e-44,1.95664951758162,0.796,0.182,5.81934999167768e-40,"4","Gsr"
"Tmsb4x2",4.09210297649413e-44,0.741262087698029,1,0.998,6.58132921709551e-40,"4","Tmsb4x"
"Ifitm34",6.39647200981443e-44,1.24940439186728,0.849,0.266,1.02874459333846e-39,"4","Ifitm3"
"Srgn2",1.88918085942816e-43,1.64881585230195,0.92,0.532,3.03836957621831e-39,"4","Srgn"
"Taldo13",2.05393691038502e-43,1.65886536479153,0.86,0.381,3.30334673297223e-39,"4","Taldo1"
"Cxcr2",7.32112159667974e-43,2.32545979805131,0.682,0.019,1.177455986394e-38,"4","Cxcr2"
"Pglyrp1",9.73229380121126e-43,2.18162843544817,0.769,0.12,1.56524481204881e-38,"4","Pglyrp1"
"Fcer1g4",9.76574205724032e-43,1.46578687698696,0.957,0.35,1.57062429506596e-38,"4","Fcer1g"
"Mmp9",7.85749588903409e-40,2.25150972330016,0.607,0.012,1.26372106383335e-35,"4","Mmp9"
"Lcn21",4.92144520736033e-39,2.9019572766288,0.726,0.106,7.91516032699763e-35,"4","Lcn2"
"Grina",5.30934509414921e-39,2.0103551857772,0.718,0.129,8.53901971492018e-35,"4","Grina"
"Ccl64",8.40740914077709e-39,1.75076017157594,0.826,0.222,1.35216361211118e-34,"4","Ccl6"
"Prdx53",1.39709546238542e-38,1.72562506903689,0.853,0.399,2.24694863215447e-34,"4","Prdx5"
"Ftl14",1.2963297325755e-37,0.758758283177509,1,0.93,2.08488710890117e-33,"4","Ftl1"
"Dusp1",1.91679965121361e-35,1.94089580917951,0.647,0.124,3.08278887904685e-31,"4","Dusp1"
"Lst1",3.51494683345516e-34,1.65308423927521,0.652,0.153,5.65308899224594e-30,"4","Lst1"
"Hmgb22",2.78116939902699e-33,1.53112306051254,0.787,0.341,4.47295474445511e-29,"4","Hmgb2"
"Lcp12",5.88722392551279e-33,1.36941471613924,0.798,0.391,9.46842223940222e-29,"4","Lcp1"
"Fxyd53",2.33685282192505e-32,1.54325003476819,0.881,0.422,3.75836039350206e-28,"4","Fxyd5"
"Tpd522",3.71698162770868e-32,1.53133358525203,0.645,0.238,5.97802155184387e-28,"4","Tpd52"
"Cd523",4.78378959909311e-32,0.943021571145211,0.977,0.733,7.69376881222145e-28,"4","Cd52"
"Mrpl332",3.52253971789977e-31,1.5055487656838,0.776,0.381,5.66530062829819e-27,"4","Mrpl33"
"Prr134",1.07966922218992e-30,1.47472821536917,0.773,0.367,1.73643201004805e-26,"4","Prr13"
"Spi12",8.25410511377998e-30,1.51405263988109,0.741,0.252,1.32750772544923e-25,"4","Spi1"
"Hdc",1.69304581505143e-28,1.82243364010266,0.529,0.047,2.72292558434721e-24,"4","Hdc"
"Gda",3.26843671334902e-28,1.62546395945411,0.554,0.123,5.25662676607923e-24,"4","Gda"
"Clec4d",3.53919716451966e-28,1.87357726540408,0.487,0.017,5.69209079969697e-24,"4","Clec4d"
"Tmcc1",7.79317010618896e-28,1.66862820019883,0.636,0.164,1.25337554817837e-23,"4","Tmcc1"
"Sat13",1.88680084399577e-27,1.10674018049012,0.753,0.428,3.0345417973984e-23,"4","Sat1"
"Mcemp1",1.82665192852282e-26,1.71934682944133,0.561,0.096,2.93780429664326e-22,"4","Mcemp1"
"Fth11",1.90129755560385e-25,0.613696072085794,0.989,0.968,3.05785685867768e-21,"4","Fth1"
"Fos",3.77062744830451e-24,1.41858254061476,0.52,0.17,6.06430012510814e-20,"4","Fos"
"H2-Q10",4.10202425923958e-24,1.78108925477377,0.401,0.015,6.59728561613501e-20,"4","H2-Q10"
"Atp6v1g14",1.09833851670961e-23,1.14888737534879,0.737,0.458,1.76645783642407e-19,"4","Atp6v1g1"
"Shfm13",1.73739963859151e-23,0.94471651372368,0.845,0.65,2.79425983874673e-19,"4","Shfm1"
"Ostf12",1.97145327777649e-23,1.06473136635758,0.739,0.475,3.17068830664794e-19,"4","Ostf1"
"Gapdh3",3.28003862757704e-23,1.02573394981159,0.819,0.572,5.27528612473215e-19,"4","Gapdh"
"Stfa2l1",4.77444498267201e-23,2.72768583276415,0.423,0.008,7.67873986563139e-19,"4","Stfa2l1"
